 ,Area,Mean,X,Y
1,62.63,255,76.34,60.94
2,53.18,255,75.41,59.41
3,41.09,255,57.96,62.47
4,99.05,255,76.89,60.78
5,46.31,255,57.79,62.48
6,59.94,255,70.31,46.06
7,34.94,255,57.93,50.05
8,100.66,255,76.98,60.78
9,46.41,255,57.61,62.33
10,43.47,255,77.71,74.37
11,34.55,255,68.97,81.57
12,62.12,255,70.12,46.22
13,95.12,255,77.22,60.63
14,46.68,255,57.60,62.17
15,64.28,255,77.35,74.39
16,47.30,255,69.10,81.79
17,60.56,255,70.07,46.32
18,71.81,255,78.05,61.24
19,47.40,255,87.56,69.09
20,75.42,255,77.28,74.50
21,52.37,255,69.09,81.89
22,66.85,255,66.61,42.00
23,35.04,255,78.93,62.60
24,53.98,255,87.68,69.08
25,92.37,255,77.79,74.29
26,53.11,255,69.11,82.01
27,30.84,255,77.10,40.41
28,59.02,255,66.60,42.20
29,57.16,255,49.31,58.97
30,54.12,255,87.74,69.10
31,47.11,255,54.56,70.10
32,94.05,255,77.69,74.47
33,48.26,255,69.18,82.24
34,35.70,255,76.96,40.10
35,71.83,255,49.11,58.74
36,42.17,255,54.74,70.11
37,31.24,255,87.96,71.99
38,96.95,255,77.34,74.57
39,39.28,255,69.39,82.42
40,40.71,255,76.65,39.48
41,79.74,255,49.05,58.59
42,36.70,255,55.06,69.89
43,91.51,255,77.36,74.69
44,30.31,255,67.04,30.76
45,48.47,255,76.37,38.40
46,83.10,255,48.95,58.58
47,81.37,255,77.47,74.92
48,33.81,255,56.85,77.50
49,44.46,255,66.76,30.75
50,30.17,255,82.01,34.67
51,48.55,255,76.12,37.85
52,48.16,255,97.35,55.17
53,82.99,255,48.83,58.64
54,66.11,255,77.52,75.28
55,52.15,255,55.65,77.68
56,53.32,255,66.74,30.66
57,48.12,255,82.44,34.53
58,45.67,255,76.02,37.50
59,48.03,255,53.86,40.94
60,57.08,255,97.12,54.38
61,79.58,255,48.69,58.75
62,30.54,255,98.05,60.79
63,45.49,255,77.35,75.87
64,59.94,255,55.34,77.91
65,48.69,255,63.47,86.92
66,59.71,255,66.78,30.57
67,63.72,255,82.31,34.31
68,40.06,255,75.93,37.28
69,58.63,255,53.69,40.48
70,110.16,255,97.49,56.90
71,72.40,255,48.50,58.89
72,67.18,255,54.95,78.41
73,68.21,255,63.74,86.89
74,62.72,255,66.77,30.54
75,74.79,255,82.11,34.27
76,88.67,255,53.11,41.53
77,121.51,255,97.66,56.94
78,39.23,255,49.05,58.12
79,72.59,255,54.49,79.00
80,49.19,255,85.46,79.32
81,45.81,255,76.03,85.27
82,80.50,255,63.90,87.22
83,60.99,255,66.72,30.50
84,53.65,255,78.29,33.69
85,43.33,255,84.11,35.65
86,93.46,255,53.10,41.49
87,44.74,255,91.44,41.79
88,124.98,255,97.85,57.01
89,59.45,255,45.50,68.33
90,74.66,255,54.19,79.56
91,64.01,255,85.40,79.40
92,35.04,255,76.02,84.04
93,89.96,255,63.98,87.54
94,36.99,255,56.79,29.26
95,43.94,255,67.39,29.86
96,103.27,255,81.27,34.85
97,57.72,255,91.46,41.44
98,93.23,255,53.00,41.51
99,40.41,255,43.74,48.90
100,118.59,255,98.02,57.00
101,46.70,255,43.45,63.63
102,53.90,255,45.59,69.65
103,74.36,255,53.92,80.12
104,74.11,255,85.34,79.59
105,96.38,255,64.00,87.84
106,49.49,255,56.68,29.29
107,35.92,255,67.52,29.43
108,99.28,255,81.24,34.66
109,70.45,255,91.35,41.06
110,89.70,255,52.89,41.54
111,41.66,255,43.38,49.00
112,96.24,255,98.20,56.44
113,109.00,255,44.32,67.06
114,81.80,255,85.24,79.96
115,69.48,255,53.59,80.85
116,100.29,255,64.06,88.12
117,60.85,255,56.65,29.27
118,31.56,255,68.49,28.94
119,96.24,255,81.07,34.59
120,77.52,255,91.27,40.81
121,62.24,255,52.55,41.11
122,46.45,255,42.86,49.97
123,33.25,255,96.32,53.17
124,37.57,255,99.27,57.35
125,107.20,255,44.19,67.25
126,84.53,255,85.18,80.33
127,63.83,255,53.23,81.52
128,101.25,255,64.08,88.38
129,70.28,255,56.64,29.26
130,90.25,255,80.98,34.68
131,81.22,255,91.19,40.65
132,33.46,255,53.33,42.37
133,35.78,255,42.51,50.09
134,64.47,255,97.42,54.90
135,42.71,255,42.74,63.40
136,61.40,255,44.88,70.04
137,86.28,255,85.20,80.78
138,61.69,255,53.10,81.84
139,98.33,255,64.06,88.56
140,76.99,255,56.58,29.23
141,41.52,255,69.31,27.96
142,32.28,255,75.50,28.44
143,81.82,255,81.05,34.81
144,81.39,255,91.26,40.69
145,65.08,255,97.24,54.79
146,94.32,255,43.77,67.36
147,85.34,255,85.18,81.20
148,59.45,255,53.00,82.06
149,79.19,255,63.28,88.44
150,81.66,255,56.49,29.17
151,31.30,255,68.16,27.62
152,49.27,255,74.41,28.29
153,63.11,255,81.96,34.82
154,75.86,255,91.08,40.45
155,66.95,255,97.21,54.76
156,61.63,255,43.88,68.60
157,73.16,255,85.43,81.87
158,56.32,255,52.94,82.20
159,56.67,255,62.67,88.28
160,82.38,255,56.46,29.12
161,86.26,255,71.88,28.00
162,56.16,255,82.08,34.82
163,93.62,255,92.76,41.65
164,66.91,255,97.24,54.76
165,46.90,255,43.25,67.99
166,62.49,255,85.46,82.42
167,50.58,255,52.85,82.41
168,40.39,255,62.23,88.27
169,88.57,255,71.77,27.97
170,80.40,255,56.48,29.07
171,46.18,255,82.22,34.68
172,47.83,255,90.03,38.90
173,41.89,255,96.36,45.13
174,35.20,255,40.09,47.19
175,63.15,255,97.29,54.78
176,39.48,255,42.36,68.10
177,54.27,255,44.00,78.41
178,45.40,255,85.82,83.09
179,36.56,255,61.56,88.00
180,89.16,255,71.74,27.94
181,77.50,255,56.44,29.05
182,68.58,255,40.61,45.06
183,34.85,255,94.51,43.33
184,51.16,255,97.58,54.70
185,41.39,255,41.83,68.22
186,33.74,255,90.52,77.04
187,59.34,255,44.04,78.51
188,37.90,255,61.52,88.05
189,86.18,255,71.61,27.90
190,72.96,255,56.36,29.04
191,72.50,255,40.61,45.00
192,34.07,255,97.34,46.71
193,87.60,255,39.74,67.01
194,40.30,255,90.52,77.24
195,57.74,255,44.07,78.73
196,51.51,255,60.74,87.97
197,35.62,255,76.96,90.41
198,42.17,255,71.23,90.42
199,78.82,255,71.48,27.82
200,66.85,255,56.15,29.05
201,71.97,255,40.56,45.02
202,105.92,255,39.56,67.17
203,45.16,255,90.58,77.34
204,51.04,255,44.09,78.98
205,58.99,255,60.70,88.01
206,35.00,255,70.55,90.12
207,49.43,255,76.33,90.60
208,61.54,255,70.72,27.61
209,59.96,255,55.75,29.18
210,66.29,255,40.56,44.71
211,33.09,255,99.92,62.46
212,114.31,255,39.46,67.18
213,47.58,255,90.57,77.39
214,36.27,255,44.06,79.42
215,92.00,255,59.07,87.10
216,32.41,255,70.38,89.85
217,54.86,255,76.26,90.72
218,50.26,255,70.39,27.41
219,52.62,255,54.99,29.47
220,61.89,255,40.67,44.58
221,34.81,255,95.52,45.09
222,42.85,255,100.02,62.46
223,118.92,255,39.37,67.19
224,47.54,255,90.53,77.42
225,97.41,255,59.00,87.17
226,36.11,255,70.71,89.74
227,49.43,255,76.79,90.81
228,34.48,255,69.21,27.01
229,57.29,255,54.48,29.65
230,63.15,255,41.42,44.34
231,51.43,255,100.26,62.47
232,119.33,255,39.28,67.21
233,45.36,255,96.01,73.19
234,44.81,255,90.45,77.42
235,99.38,255,58.92,87.23
236,34.81,255,70.78,89.70
237,48.57,255,76.88,90.80
238,31.81,255,68.07,26.58
239,68.06,255,53.99,29.71
240,80.05,255,42.66,43.33
241,54.37,255,100.44,62.38
242,113.59,255,39.22,67.32
243,53.88,255,95.93,73.31
244,40.32,255,90.47,77.38
245,99.81,255,58.88,87.31
246,35.04,255,71.21,89.31
247,42.46,255,77.22,90.64
248,38.45,255,67.52,26.63
249,77.30,255,53.64,29.73
250,88.65,255,42.94,43.22
251,51.92,255,100.63,62.15
252,98.29,255,39.12,67.36
253,97.74,255,93.86,74.70
254,96.44,255,58.75,87.32
255,40.80,255,77.04,90.46
256,48.57,255,67.05,26.83
257,83.03,255,53.43,29.82
258,99.63,255,43.00,43.10
259,67.84,255,38.51,66.54
260,82.44,255,94.72,73.84
261,62.12,255,60.09,87.75
262,39.75,255,76.76,90.46
263,58.26,255,66.78,27.04
264,86.34,255,53.26,29.90
265,107.13,255,42.95,43.06
266,42.38,255,100.78,61.73
267,56.92,255,38.14,66.36
268,80.44,255,94.99,73.71
269,43.57,255,86.51,84.33
270,70.68,255,58.21,87.07
271,33.41,255,77.13,90.51
272,64.92,255,66.64,27.18
273,88.30,255,53.14,29.98
274,110.61,255,42.88,43.07
275,34.38,255,101.01,60.64
276,56.36,255,37.97,66.30
277,81.20,255,94.94,73.77
278,55.70,255,86.44,84.29
279,54.06,255,51.12,85.65
280,41.11,255,59.94,87.55
281,30.04,255,77.42,90.71
282,69.52,255,66.50,27.34
283,87.72,255,53.01,30.07
284,108.06,255,42.76,43.20
285,62.39,255,37.91,66.24
286,80.54,255,94.87,73.79
287,64.65,255,86.33,84.26
288,65.02,255,51.32,85.55
289,72.61,255,66.35,27.47
290,85.60,255,52.89,30.13
291,101.64,255,42.65,43.20
292,69.81,255,37.88,66.20
293,75.94,255,94.80,73.81
294,71.56,255,86.16,84.26
295,67.08,255,51.14,85.40
296,72.46,255,66.12,27.63
297,81.63,255,52.76,30.19
298,87.74,255,42.65,43.06
299,34.07,255,100.44,59.88
300,75.06,255,37.91,66.21
301,62.53,255,94.70,73.79
302,75.98,255,85.88,84.25
303,40.72,255,52.96,86.41
304,69.44,255,65.97,27.84
305,73.96,255,52.64,30.22
306,67.84,255,42.78,42.80
307,32.98,255,100.09,60.16
308,79.54,255,37.96,66.16
309,74.23,255,85.75,84.20
310,39.38,255,53.21,86.18
311,61.57,255,65.77,28.09
312,59.67,255,52.52,30.23
313,50.11,255,43.43,42.58
314,81.00,255,37.97,66.15
315,68.87,255,85.52,84.16
316,32.69,255,49.49,83.62
317,31.96,255,71.86,88.73
318,42.30,255,65.87,28.51
319,42.44,255,52.70,30.11
320,44.95,255,43.86,42.53
321,43.41,255,38.68,55.39
322,79.85,255,38.04,66.16
323,56.86,255,85.26,84.15
324,35.57,255,51.83,83.66
325,40.06,255,71.95,88.82
326,45.18,255,44.00,42.54
327,48.28,255,38.69,55.70
328,74.48,255,38.22,66.15
329,30.74,255,51.75,83.39
330,44.19,255,71.98,88.67
331,46.86,255,43.98,42.60
332,53.22,255,38.92,56.11
333,64.69,255,38.63,66.15
334,48.65,255,71.88,88.33
335,43.66,255,44.03,42.57
336,56.90,255,39.17,56.52
337,54.18,255,38.86,66.28
338,39.13,255,44.16,42.33
339,62.12,255,39.38,57.33
340,45.12,255,71.29,87.83
341,58.50,255,39.62,57.56
342,40.41,255,70.59,87.34
343,54.35,255,39.82,57.92
344,51.43,255,40.08,58.25
345,45.03,255,40.37,58.72
346,38.56,255,40.68,58.99
