label,area,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
1,1380813.0,45.988382930925475,555.6804078466816,613.2885024981659,9,402,449,62,741,816
2,99.0,12.868686868686869,514.4040404040404,681.4545454545455,12,510,672,14,520,689
3,117.0,12.7008547008547,630.965811965812,613.2478632478633,12,625,607,14,642,619
4,383.0,17.655352480417754,516.579634464752,675.8825065274151,17,509,660,20,529,689
5,152.0,17.598684210526315,522.1842105263158,637.9342105263158,17,516,633,19,530,645
6,132.0,17.71969696969697,537.1212121212121,671.0075757575758,17,531,664,19,546,681
7,54.0,22.74074074074074,471.31481481481484,729.3333333333334,22,468,727,24,478,734
8,58.0,22.67241379310345,482.98275862068965,724.2241379310345,22,479,721,24,487,728
9,51.0,22.666666666666668,500.11764705882354,722.1372549019608,22,497,718,24,504,726
10,321.0,23.73208722741433,469.1464174454829,681.3426791277259,23,459,672,26,483,692
11,187.0,25.566844919786096,450.3582887700535,614.4224598930481,25,443,607,28,459,623
12,262.0,27.610687022900763,470.5916030534351,729.4847328244275,27,465,721,30,479,742
13,132.0,27.674242424242426,501.3030303030303,720.8560606060606,27,497,713,30,509,727
14,141.0,32.673758865248224,501.5248226950355,721.6808510638298,31,496,717,35,509,726
15,110.0,37.46363636363636,573.8818181818182,736.2818181818182,37,567,731,39,581,742
16,301.0,42.61461794019934,551.312292358804,701.0033222591362,41,542,688,45,561,713
17,204.0,47.60294117647059,550.0196078431372,699.6666666666666,46,537,687,49,561,712
18,73.0,47.56164383561644,583.4931506849315,640.6438356164383,46,579,638,49,588,645
19,219.0,47.64840182648402,524.1735159817351,798.5616438356165,47,516,792,49,532,808
20,144.0,52.520833333333336,580.7708333333334,721.2291666666666,52,575,718,54,588,727
21,117.0,52.666666666666664,585.2820512820513,653.2307692307693,52,580,647,54,591,661
22,53.0,55.283018867924525,543.5471698113207,673.1698113207547,55,541,669,57,547,678
23,241.0,59.60995850622407,561.9419087136929,657.5601659751037,55,557,653,62,569,664
24,234.0,57.60683760683761,574.6367521367522,716.2094017094017,57,564,702,60,584,727
25,73.0,57.9041095890411,572.9041095890411,668.8356164383562,57,567,666,59,580,673
26,262.0,57.64885496183206,583.9274809160305,651.2938931297709,57,575,639,60,592,662
27,121.0,57.46280991735537,641.801652892562,738.3636363636364,57,635,732,59,651,745
28,65.0,60.261538461538464,545.723076923077,672.0307692307692,59,543,668,62,550,677
